ID Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12  Q13
wd01 3 4 3 5 4 4 3 4 4 4 4 3 5
wd02 4 4 4 5 4 4 5 4 4 3 4 4 5
wd03 5 5 5 5 4 4 4 4 4 4 5 5 5
wd04 5 5 5 5 4 5 4 4 4 4 4 5 5
wd05 4 5 4 5 4 4 3 5 5 4 4 5 5
wd06 3 3 3 5 3 4 3 4 5 4 4 4 5
wd07 4 5 4 4 4 3 3 4 4 4 4 5 5
wd08 3 3 3 4 3 3 3 2 3 2 2 2 3
wd09 3 3 3 4 3 3 3 1 4 1 3 2 2
wd10 4 4 4 4 3 4 3 4 4 4 4 4 4
wd11 3 2 2 4 2 3 2 3 2 4 4 2 2
wd12 4 4 4 5 3 4 4 4 4 3 4 4 4
wd13 4 4 4 5 4 4 3 4 4 3 4 4 4
wd14 3 3 3 5 5 3 5 5 5 5 5 4 5
wd15 4 4 4 5 4 4 4 4 4 2 4 4 4
wd16 4 4 4 5 4 5 4 5 4 4 5 4 4
wd17 4 4 4 4 3 4 4 4 5 5 5 4 5
wd18 4 4 4 4 5 4 5 3 5 2 5 5 5
wd19 4 5 4 4 3 4 3 3 4 3 5 4 4
wd20 4 4 5 5 4 4 4 5 5 5 5 4 5
wd21 4 4 4 4 3 4 3 4 4 3 3 4 4
wd22 3 3 3 4 3 3 3 4 4 4 3 3 3
